word,n_periods,min_freq,max_freq,freq_profile
man,4,1731,6844,"[6844, 3906, 1731, 1875]"
little,4,1396,6475,"[6475, 2523, 1562, 1396]"
old,4,1328,5175,"[5175, 1918, 1328, 1484]"
too,4,1238,3150,"[3150, 1871, 1238, 1320]"
upon,4,1203,4654,"[4654, 2067, 1203, 1651]"
long,4,1087,2824,"[2824, 1651, 1087, 1148]"
made,4,985,3817,"[3817, 2317, 985, 992]"
own,4,984,3093,"[3093, 1701, 984, 1077]"
eyes,4,984,2532,"[2532, 2048, 1040, 984]"
great,4,949,3363,"[3363, 1423, 949, 1051]"
life,4,942,2375,"[2375, 1840, 1142, 942]"
hand,4,931,2855,"[2855, 1829, 1014, 931]"
father,4,884,1862,"[1862, 1176, 884, 942]"
away,4,863,2785,"[2785, 1610, 867, 863]"
came,4,808,2342,"[2342, 2110, 924, 808]"
head,4,772,2799,"[2799, 1356, 772, 867]"
name,4,756,1518,"[1518, 756, 836, 882]"
face,4,730,2224,"[2224, 1626, 879, 730]"
though,4,722,2437,"[2437, 1536, 722, 1047]"
young,4,722,2890,"[2890, 1561, 722, 725]"
right,4,708,2058,"[2058, 1113, 708, 734]"
last,4,703,2296,"[2296, 1398, 703, 946]"
thought,4,697,2853,"[2853, 1883, 702, 697]"
house,4,691,2259,"[2259, 1559, 794, 691]"
men,4,679,2025,"[2025, 1308, 679, 727]"
went,4,672,2459,"[2459, 2209, 936, 672]"
world,4,666,1497,"[1497, 876, 666, 673]"
called,4,613,1217,"[1217, 613, 620, 657]"
round,4,605,1591,"[1591, 1053, 605, 775]"
saw,4,602,1923,"[1800, 1923, 602, 603]"
three,4,594,1778,"[1778, 1056, 594, 747]"
something,4,586,1959,"[1959, 1364, 630, 586]"
heard,4,585,1571,"[1571, 1297, 591, 585]"
hands,4,573,1544,"[1544, 1117, 573, 592]"
nothing,4,557,3079,"[3079, 1752, 557, 652]"
mother,4,556,1851,"[1851, 884, 556, 623]"
left,4,553,1652,"[1652, 1242, 628, 553]"
far,4,538,1236,"[1236, 774, 568, 538]"
voice,4,538,1275,"[1275, 862, 680, 538]"
mind,4,536,2128,"[2128, 1071, 547, 536]"
place,4,531,1959,"[1959, 1064, 531, 620]"
years,4,524,1360,"[1360, 691, 524, 552]"
don,4,524,3113,"[3113, 1759, 773, 524]"
put,4,514,1903,"[1903, 1220, 596, 514]"
love,4,508,1480,"[1480, 1053, 508, 552]"
found,4,501,1660,"[1660, 1261, 600, 501]"
course,4,499,1130,"[1130, 734, 554, 499]"
moment,4,498,1759,"[1759, 1318, 513, 498]"
son,4,494,618,"[618, 544, 498, 494]"
white,4,489,1099,"[1099, 735, 489, 609]"
light,4,484,1344,"[1344, 890, 539, 484]"
turned,4,481,1317,"[1317, 941, 593, 481]"
air,4,479,1226,"[1226, 675, 479, 546]"
seen,4,478,1626,"[1626, 1066, 478, 553]"
woman,4,475,1711,"[1711, 695, 531, 475]"
seemed,4,471,2161,"[2161, 1586, 471, 607]"
looked,4,468,1957,"[1957, 1662, 553, 468]"
side,4,468,1501,"[1501, 746, 468, 600]"
took,4,456,1967,"[1967, 1448, 519, 456]"
whole,4,456,1494,"[1494, 776, 456, 467]"
words,4,451,1186,"[1186, 892, 451, 453]"
along,4,449,965,"[965, 556, 449, 450]"
door,4,442,2015,"[2015, 1395, 720, 442]"
home,4,431,1493,"[1493, 795, 448, 431]"
better,4,429,1964,"[1964, 888, 429, 437]"
wife,4,427,772,"[731, 772, 455, 427]"
began,4,427,1171,"[1065, 1171, 489, 427]"
felt,4,426,1680,"[1680, 1434, 442, 426]"
stood,4,425,921,"[921, 797, 518, 425]"
towards,4,422,1537,"[1537, 1029, 422, 574]"
together,4,422,986,"[986, 572, 515, 422]"
knew,4,420,1289,"[1289, 1251, 434, 420]"
black,4,416,1107,"[1107, 610, 416, 416]"
water,4,412,759,"[759, 612, 412, 507]"
poor,4,407,1644,"[1644, 889, 407, 508]"
dark,4,406,796,"[796, 507, 413, 406]"
gave,4,405,997,"[997, 801, 425, 405]"
end,4,403,1011,"[1011, 702, 403, 441]"
death,4,397,789,"[789, 714, 397, 435]"
room,4,394,1874,"[1874, 1345, 532, 394]"
earth,4,389,472,"[472, 408, 399, 389]"
body,4,388,693,"[693, 413, 388, 411]"
present,4,368,1066,"[1066, 460, 395, 368]"
